Numéro de sinistre;Numéro du lot sinistré;Identifiant_lot;Branche;Garantie;Num police;Etat sinistre;Année de survenance;Montant Règlements totaux;Montant Règlements en principal;Montant Règlements en frais;Montant Provision ;Montant Recours;Charge nette;Montant du loyer sinistré;Date d'extraction
G10-555884L;418320001;418320001/2010;Compensée;LI;AXEL-10-000722;TER;2010; 1 001    ; 1 001    ; -      ; -      ;-110    ; 891    ;580;28/02/2018
G10-555889L;227000052;227000052/2010;Compensée;LI;AXEL-10-000121;TER;2010; 13 762    ; 10 159    ; 3 603    ; -      ;-10 535    ; 3 227    ;940;28/02/2018
G10-555893L;230790008;230790008/2010;Compensée;LI;AXEL-10-000082;TER;2010; 11 772    ; 6 123    ; 5 649    ; -      ;-873    ; 10 899    ;299;28/02/2018
G10-555894L;62410012;62410012/2010;Compensée;LI;AXEL-10-000039;TER;2010; 3 540    ; 3 540    ; -      ; -      ;-3 540    ; -      ;590;28/02/2018
G10-555898L;247590086;247590086/2010;Compensée;LI;AXEL-10-000122;TER;2010; 1 442    ; 1 124    ; 318    ; -      ;-374    ; 1 068    ;530;28/02/2018
G10-555911L;232310025;232310025/2010;Compensée;LI;AXEL-10-000319;TER;2010; 335    ; 335    ; -      ; -      ;-335    ; 0    ;444;28/02/2018
G10-555914L;79270011;79270011/2010;Compensée;LI;AXEL-10-000224;NG;2010; -      ; -      ; -      ; -      ; -      ; -      ;578;28/02/2018
G10-555927L;164600029;164600029/2010;Compensée;LI;AXEL-10-000259;SS;2010; -      ; -      ; -      ; -      ; -      ; -      ;421;28/02/2018
G10-555933L;296780001;296780001/2010;Compensée;LI;AXEL-10-000524;SS;2010; -      ; -      ; -      ; -      ; -      ; -      ;700;28/02/2018
G10-555951L;200550018;200550018/2010;Compensée;LI;AXEL-10-000472;TER;2010; 16 437    ; 12 326    ; 4 111    ; -      ; -      ; 16 437    ;935;28/02/2018
G10-555962L;276940007;276940007/2010;Compensée;LI;AXEL-10-000265;TER;2010; 9 141    ; 5 734    ; 3 407    ; -      ; -      ; 9 141    ;790;28/02/2018
G10-556001L;231750005;231750005/2010;Compensée;LI;AXEL-10-000185;TER;2010; 9 088    ; 5 566    ; 3 522    ; -      ;-567    ; 8 521    ;640;28/02/2018
G10-556006L;241830025;241830025/2010;Compensée;LI;AXEL-10-000748;TER;2010; 1 294    ; 1 016    ; 278    ; -      ;-1 294    ; 0    ;600;28/02/2018
G10-556015L;130100039;130100039/2010;Compensée;LI;AXEL-10-000278;TER;2010; 25 737    ; 19 763    ; 5 973    ; -      ;-2 595    ; 23 142    ;728;28/02/2018
G10-556035L;243310019;243310019/2010;Compensée;LI;AXEL-10-000144;TER;2010; 9 697    ; 6 416    ; 3 281    ; -      ;-2 344    ; 7 353    ;620;28/02/2018
G10-556052L;222180008;222180008/2010;Compensée;LI;AXEL-10-000616;TER;2010; 9 477    ; 5 693    ; 3 784    ; -      ;-2 691    ; 6 586    ;560;28/02/2018
G10-556074L;88780019;88780019/2010;Compensée;LI;AXEL-10-000385;NG;2010; -      ; -      ; -      ; -      ; -      ; -      ;420;28/02/2018
G10-556076L;134140002;134140002/2010;Compensée;LI;AXEL-10-000288;SS;2010; -      ; -      ; -      ; -      ; -      ; -      ;710;28/02/2018
G10-556088L;299470009;299470009/2010;Compensée;LI;AXEL-10-000578;TER;2010; 2 398    ; 1 893    ; 505    ; -      ;-372    ; 2 026    ;425;28/02/2018
G10-556096L;277250012;277250012/2010;Compensée;LI;AXEL-10-000469;TER;2010; 5 108    ; 4 803    ; 305    ; -      ;-2 001    ; 3 107    ;700;28/02/2018
G10-556100L;209940042;209940042/2010;Compensée;LI;AXEL-10-000675;SS;2010; -      ; -      ; -      ; -      ; -      ; -      ;550;28/02/2018
G10-556128L;218410016;218410016/2010;Compensée;LI;AXEL-10-000726;TER;2010; 13 537    ; 8 388    ; 5 149    ; -      ; -      ; 13 537    ;636;28/02/2018
G10-556143L;21590122;21590122/2010;Compensée;LI;AXEL-10-000123;TER;2010; 726    ; 534    ; 191    ; -      ;-46    ; 680    ;355;28/02/2018
G10-556172L;264390003;264390003/2010;Compensée;LI;AXEL-10-000683;TER;2010; 1 505    ; 1 350    ; 155    ; -      ;-1 350    ; 155    ;455;28/02/2018
G10-556183L;270720010;270720010/2010;Compensée;LI;AXEL-10-000448;TER;2010; 10 372    ; 6 623    ; 3 749    ; -      ; -      ; 10 372    ;457;28/02/2018
G10-556200L;227000141;227000141/2010;Compensée;LI;AXEL-10-000121;TER;2010; 966    ; 966    ; -      ; -      ;-966    ; 0    ;420;28/02/2018
G10-556201L;227000084;227000084/2010;Compensée;LI;AXEL-10-000121;TER;2010; 24 202    ; 16 205    ; 7 996    ; -      ;-2 606    ; 21 595    ;653;28/02/2018
G10-556227L;296780001;296780001/2010;Compensée;LI;AXEL-10-000524;TER;2010; 22 074    ; 18 550    ; 3 525    ; -      ;-1 862    ; 20 212    ;739;28/02/2018
G10-556230L;214080023;214080023/2010;Compensée;LI;AXEL-10-000606;TER;2010; 10 772    ; 5 611    ; 5 161    ; -      ; -      ; 10 772    ;341;28/02/2018
G10-556232L;157800016;157800016/2010;Compensée;LI;AXEL-10-001013;TER;2010; 1 121    ; 1 121    ; -      ; -      ;-774    ; 348    ;544;28/02/2018
G10-556243L;277090001;277090001/2010;Compensée;LI;AXEL-10-000630;TER;2010; 1 500    ; 1 500    ; -      ; -      ;-1 500    ; -      ;750;28/02/2018
G10-556248L;232860060;232860060/2010;Compensée;LI;AXEL-10-000103;SS;2010; -      ; -      ; -      ; -      ; -      ; -      ;610;28/02/2018
G10-556251L;232310033;232310033/2010;Compensée;LI;AXEL-10-000319;TER;2010; 4 486    ; 2 757    ; 1 729    ; -      ; -      ; 4 486    ;660;28/02/2018
G10-556252L;191860006;191860006/2010;Compensée;LI;AXEL-10-000225;TER;2010; 5 087    ; 2 600    ; 2 487    ; -      ; -      ; 5 087    ;456;28/02/2018
G10-556264L;266140007;266140007/2010;Compensée;LI;AXEL-10-000492;TER;2010; 18 147    ; 12 856    ; 5 290    ; -      ; -      ; 18 147    ;913;28/02/2018
G10-556279L;227000036;227000036/2010;Compensée;LI;AXEL-10-000121;TER;2010; 11 240    ; 6 854    ; 4 386    ; -      ; -      ; 11 240    ;430;28/02/2018
G10-556286L;277250010;277250010/2010;Compensée;LI;AXEL-10-000469;TER;2010; 1 597    ; 1 394    ; 203    ; -      ; -      ; 1 597    ;490;28/02/2018
G10-556290L;21590062;21590062/2010;Compensée;LI;AXEL-10-000123;TER;2010; 4 564    ; 1 864    ; 2 700    ; -      ; -      ; 4 564    ;593;28/02/2018
G10-556292L;247590099;247590099/2010;Compensée;LI;AXEL-10-000122;TER;2010; 6 885    ; 4 089    ; 2 795    ; -      ;-2 496    ; 4 389    ;665;28/02/2018
G10-556303L;232430005;232430005/2010;Compensée;LI;AXEL-10-000534;TER;2010; 8 329    ; 5 085    ; 3 244    ; -      ; -      ; 8 329    ;274;28/02/2018
G10-556311L;181390022;181390022/2010;Compensée;LI;AXEL-10-000019;TER;2010; 6 801    ; 4 204    ; 2 596    ; -      ;-1 000    ; 5 801    ;597;28/02/2018
G10-556319L;251540004;251540004/2010;Compensée;LI;AXEL-10-000056;TER;2010; 22 002    ; 16 658    ; 5 344    ; -      ;-15 163    ;-3 596    ;1 349;28/02/2018
G10-556320L;190040014;190040014/2010;Compensée;LI;AXEL-10-000626;TER;2010; 772    ; 772    ; -      ; -      ; -      ; 772    ;560;28/02/2018
G10-556321L;143180025;143180025/2010;Compensée;LI;AXEL-10-000350;TER;2010; 15 351    ; 10 348    ; 5 003    ; -      ; -      ; 15 351    ;538;28/02/2018
G10-556328L;218410006;218410006/2010;Compensée;LI;AXEL-10-000726;NG;2010; -      ; -      ; -      ; -      ; -      ; -      ;430;28/02/2018
G10-556335L;299470015;299470015/2011;Compensée;LI;AXEL-10-000578;TER;2011; 6 650    ; 2 914    ; 3 737    ; -      ;-360    ; 6 290    ;491;28/02/2018
G10-556352L;151380034;151380034/2010;Compensée;LI;AXEL-10-000200;TER;2010; 466    ; 466    ; -      ; -      ;-466    ; -      ;550;28/02/2018
G10-556372L;214080028;214080028/2010;Compensée;LI;AXEL-10-000606;TER;2010; 896    ; 680    ; 216    ; -      ;-50    ; 846    ;285;28/02/2018
G10-556385L;243310020;243310020/2010;Compensée;LI;AXEL-10-000144;SS;2010; -      ; -      ; -      ; -      ; -      ; -      ;330;28/02/2018
G10-556404L;182840009;182840009/2010;Compensée;LI;AXEL-10-000696;TER;2010; 7 500    ; 4 530    ; 2 970    ; -      ; -      ; 7 500    ;820;28/02/2018
G10-556409L;211570015;211570015/2011;Compensée;LI;AXEL-10-000143;TER;2011; 14 565    ; 7 664    ; 6 902    ; -      ;-1 311    ; 13 254    ;590;28/02/2018
G10-556419L;276940008;276940008/2010;Compensée;LI;AXEL-10-000265;TER;2010; 15 076    ; 10 743    ; 4 333    ; -      ; -      ; 15 076    ;770;28/02/2018
G10-556423L;291090003;291090003/2010;Compensée;LI;AXEL-10-000540;SS;2010; -      ; -      ; -      ; -      ; -      ; -      ;305;28/02/2018
G10-556432L;64210003;64210003/2010;Compensée;LI;AXEL-10-000261;TER;2010; 734    ; 531    ; 203    ; -      ;-35    ; 699    ;800;28/02/2018
G10-556435L;289490035;289490035/2010;Compensée;LI;AXEL-10-000620;TER;2010; 10 457    ; 6 010    ; 4 447    ; -      ;-2 637    ; 7 820    ;850;28/02/2018
G10-556440L;406390025;406390025/2010;Compensée;LI;AXEL-10-000434;TER;2010; 1 295    ; 1 160    ; 135    ; -      ;-1 160    ; 135    ;450;28/02/2018
G10-556485L;167900005;167900005/2011;Compensée;LI;AXEL-10-000760;TER;2011; 5 445    ; 3 758    ; 1 687    ; -      ;-3 758    ; 1 687    ;1 250;28/02/2018
G10-556499L;9005580126;9005580126/2010;Compensée;LI;AXEL-10-000947;TER;2010; 17 615    ; 12 214    ; 5 400    ; -      ;-723    ; 16 892    ;477;28/02/2018
G10-556557L;205940444;205940444/2011;Compensée;LI;AXEL-10-000599;TER;2011; 3 887    ; 1 300    ; 2 587    ; -      ;-2 128    ; 1 758    ;650;28/02/2018
G10-556572L;1003020247;1003020247/2010;Compensée;LI;AXEL-10-000945;NG;2010; -      ; -      ; -      ; -      ; -      ; -      ;456;28/02/2018
G10-556605L;289490033;289490033/2011;Compensée;LI;AXEL-10-000620;TER;2011; 19 122    ; 14 498    ; 4 624    ; -      ;-5 705    ; 13 417    ;629;28/02/2018
G10-556703L;130100071;130100071/2011;Compensée;LI;AXEL-10-000278;SS;2011; -      ; -      ; -      ; -      ; -      ; -      ;520;28/02/2018
G10-556852L;406390040;406390040/2010;Compensée;LI;AXEL-10-000434;SS;2010; -      ; -      ; -      ; -      ; -      ; -      ;430;28/02/2018
G10-556958L;36040004;36040004/2010;Compensée;LI;AXEL-10-000484;NG;2010; -      ; -      ; -      ; -      ; -      ; -      ;430;28/02/2018
G10-557123L;255930001;255930001/2010;Compensée;LI;AXEL-10-000781;NG;2010; -      ; -      ; -      ; -      ; -      ; -      ;470;28/02/2018
G10-557581L;251630041;251630041/2011;Compensée;LI;AXEL-10-000216;TER;2011; 10 680    ; 7 548    ; 3 132    ; -      ;-340    ; 10 340    ;575;28/02/2018
G10-557747L;406390005;406390005/2010;Compensée;LI;AXEL-10-000434;NG;2010; -      ; -      ; -      ; -      ; -      ; -      ;700;28/02/2018
G11-033147L;213020015;213020015/2011;Compensée;LI;AXEL-10-001142;TER;2011; 238    ; 238    ; -      ; -      ; -      ; 238    ;365;28/02/2018
G11-033502L;227000378;227000378/2011;Compensée;LI;AXEL-10-000121;NG;2011; -      ; -      ; -      ; -      ; -      ; -      ;778;28/02/2018
G11-033765L;132610043;132610043/2011;Compensée;LI;AXEL-10-000713;TER;2011; 1 463    ; 1 463    ; -      ; -      ;-260    ; 1 204    ;783;28/02/2018
G11-033899L;280740057;280740057/2011;Compensée;LI;AXEL-10-000133;NG;2011; -      ; -      ; -      ; -      ; -      ; -      ;563;28/02/2018
G11-034033L;287530072;287530072/2011;Compensée;LI;AXEL-10-001041;TER;2011; 73 625    ; 66 719    ; 6 906    ; -      ;-28 864    ; 44 761    ;1 161;28/02/2018
G11-034074L;164100004;164100004/2011;Compensée;LI;AXEL-10-001159;TER;2011; 11 974    ; 7 301    ; 4 673    ; -      ;-3 252    ; 8 722    ;1 227;28/02/2018
G11-034122L;227000315;227000315/2011;Compensée;LI;AXEL-10-000121;TER;2011; 409    ; 409    ; -      ; -      ; -      ; 409    ;674;28/02/2018
G11-034198L;235410242;235410242/2011;Compensée;LI;AXEL-10-000899;TER;2011; 2 983    ; 1 719    ; 1 263    ; -      ;-1 697    ; 1 286    ;430;28/02/2018
G11-034262L;227000396;227000396/2011;Compensée;LI;AXEL-10-000121;NG;2011; -      ; -      ; -      ; -      ; -      ; -      ;469;28/02/2018
G11-034336L;217300012;217300012/2011;Compensée;LI;AXEL-10-000132;NG;2011; -      ; -      ; -      ; -      ; -      ; -      ;865;28/02/2018
G11-034547L;266340027;266340027/2011;Compensée;LI;AXEL-10-001082;TER;2011; 21 738    ; 16 810    ; 4 927    ; -      ; -      ; 21 738    ;792;28/02/2018
G11-034777D;250480024;250480024/2011;Compensée;LI;AXEL-10-000116;NG;2011; -      ; -      ; -      ; -      ; -      ; -      ;550;28/02/2018
G11-034839L;299470035;299470035/2011;Compensée;LI;AXEL-10-000578;SS;2011; -      ; -      ; -      ; -      ; -      ; -      ;550;28/02/2018
G11-035008L;262150002;262150002/2011;Compensée;LI;AXEL-11-001198;NG;2011; -      ; -      ; -      ; -      ; -      ; -      ;400;28/02/2018
G11-036098L;21590657;21590657/2011;Compensée;LI;AXEL-10-000123;TER;2011; 11 736    ; 6 540    ; 5 195    ; -      ;-703    ; 11 033    ;695;28/02/2018
G11-036373L;15260001;15260001/2011;Compensée;LI;AXEL-10-000737;SS;2011; -      ; -      ; -      ; -      ; -      ; -      ;670;28/02/2018
G11-036664L;412720004;412720004/2011;Compensée;LI;AXEL-10-000059;TER;2011; 4 337    ; 1 959    ; 2 378    ; -      ;-750    ; 3 586    ;585;28/02/2018
G11-036777L;230050008;230050008/2011;Non Compensée;LI;AXEL-10-000199;NG;2011; -      ; -      ; -      ; -      ; -      ; -      ;1 200;28/02/2018
G11-036793L;169520006;169520006/2011;Compensée;LI;AXEL-10-000359;TER;2011; 661    ; 444    ; 216    ; -      ;-435    ; 226    ;638;28/02/2018
G11-036904L;110480028;110480028/2011;Compensée;LI;AXEL-10-000254;TER;2011; 5 003    ; 2 505    ; 2 499    ; -      ;-640    ; 3 793    ;515;28/02/2018
G11-037364L;21590884;21590884/2011;Compensée;LI;AXEL-10-000123;SS;2011; -      ; -      ; -      ; -      ; -      ; -      ;565;28/02/2018
G11-037708L;173840066;173840066/2012;Compensée;LI;AXEL-10-000663;TER;2012; 17 590    ; 11 785    ; 5 806    ; -      ; -      ; 17 590    ;366;28/02/2018
G11-037709L;173840110;173840110/2012;Compensée;LI;AXEL-10-000663;TER;2012; 12 698    ; 8 791    ; 3 906    ; -      ; -      ; 12 698    ;423;28/02/2018
G11-038739L;150840012;150840012/2011;Compensée;LI;AXEL-10-001032;NG;2011; -      ; -      ; -      ; -      ; -      ; -      ;981;28/02/2018
G11-040330L;224200001;224200001/2011;Compensée;LI;AXEL-10-000370;NG;2011; -      ; -      ; -      ; -      ; -      ; -      ;900;28/02/2018
G11-041151L;229210206;229210206/2011;Compensée;LI;AXEL-10-000649;SS;2011; -      ; -      ; -      ; -      ; -      ; -      ;575;28/02/2018
G11-042755L;251630084;251630084/2011;Compensée;LI;AXEL-10-000216;SS;2011; -      ; -      ; -      ; -      ; -      ; -      ;650;28/02/2018
G11-043108L;251630084;251630084/2011;Compensée;LI;AXEL-10-000216;TER;2011; 7 214    ; 3 461    ; 3 753    ; -      ; -      ; 7 214    ;676;28/02/2018
G11-555692L;16600016;16600016/2011;Compensée;LI;AXEL-10-000407;TER;2011; 1 210    ; 1 210    ; -      ; -      ;-1 210    ; -      ;600;28/02/2018
G11-556357L;247590034;247590034/2011;Compensée;LI;AXEL-10-000122;TER;2011; 2 509    ; 1 791    ; 718    ; -      ;-1 991    ; 518    ;690;28/02/2018
G11-556358L;9006600005;9006600005/2011;Compensée;LI;AXEL-10-000974;TER;2011; 13 182    ; 8 981    ; 4 201    ; -      ;-4 704    ; 8 478    ;558;28/02/2018
G11-556452L;209940129;209940129/2011;Compensée;LI;AXEL-10-000675;SS;2011; -      ; -      ; -      ; -      ; -      ; -      ;445;28/02/2018
G11-556459L;202190022;202190022/2010;Compensée;LI;AXEL-10-001009;TER;2010; 14 439    ; 8 728    ; 5 711    ; -      ; -      ; 14 439    ;0;28/02/2018
G11-556460L;247590102;247590102/2011;Compensée;LI;AXEL-10-000122;SS;2011; -      ; -      ; -      ; -      ; -      ; -      ;702;28/02/2018
G11-556463L;204580015;204580015/2011;Compensée;LI;AXEL-10-000009;SS;2011; -      ; -      ; -      ; -      ; -      ; -      ;450;28/02/2018
G11-556489L;205330001;205330001/2011;Compensée;LI;AXEL-10-000570;TER;2011; 2 185    ; 2 185    ; -      ; -      ;-1 336    ; 849    ;0;28/02/2018
G11-556502L;205720084;205720084/2011;Compensée;LI;AXEL-10-000038;TER;2011; 4 548    ; 2 395    ; 2 154    ; -      ;-220    ; 4 328    ;0;28/02/2018
G11-556539L;79270064;79270064/2011;Compensée;LI;AXEL-10-000224;NG;2011; -      ; -      ; -      ; -      ; -      ; -      ;473;28/02/2018
G11-556540L;247590077;247590077/2011;Compensée;LI;AXEL-10-000122;TER;2011; 2 012    ; 556    ; 1 456    ; -      ;-1 327    ; 685    ;499;28/02/2018
G11-556546L;407110001;407110001/2011;Compensée;LI;AXEL-10-000379;TER;2011; 1 070    ; 867    ; 203    ; -      ;-49    ; 1 022    ;280;28/02/2018
G11-556567L;402350003;402350003/2011;Compensée;LI;AXEL-10-000554;SS;2011; -      ; -      ; -      ; -      ; -      ; -      ;489;28/02/2018
G11-556587L;413230015;413230015/2011;Compensée;LI;AXEL-10-000536;TER;2011; 15 817    ; 11 260    ; 4 557    ; -      ; -      ; 15 817    ;506;28/02/2018
G11-556588L;413230008;413230008/2011;Compensée;LI;AXEL-10-000536;TER;2011; 12 737    ; 8 053    ; 4 684    ; -      ; -      ; 12 737    ;525;28/02/2018
G11-556592L;88780003;88780003/2011;Compensée;LI;AXEL-10-000385;TER;2011; 5 914    ; 3 360    ; 2 555    ; -      ; -      ; 5 914    ;528;28/02/2018
G11-556625L;200220026;200220026/2011;Compensée;LI;AXEL-10-000842;TER;2011; 25 997    ; 21 190    ; 4 808    ; -      ;-7 894    ; 18 103    ;780;28/02/2018
G11-556647L;232430021;232430021/2011;Compensée;LI;AXEL-10-000534;SS;2011; -      ; -      ; -      ; -      ; -      ; -      ;670;28/02/2018
G11-556657L;43250026;43250026/2011;Compensée;LI;AXEL-10-000637;TER;2011; 10 003    ; 6 272    ; 3 731    ; -      ;-3 168    ; 6 836    ;598;28/02/2018
G11-556666L;202190002;202190002/2011;Compensée;LI;AXEL-10-001009;TER;2011; 120    ; -      ; 120    ; -      ; -      ; 120    ;520;28/02/2018
G11-556667L;149360025;149360025/2011;Compensée;LI;AXEL-10-000898;SS;2011; -      ; -      ; -      ; -      ; -      ; -      ;528;28/02/2018
G11-556672L;61770061;61770061/2011;Compensée;LI;AXEL-10-000871;TER;2011; 14 363    ; 9 913    ; 4 450    ; -      ; -      ; 14 363    ;353;28/02/2018
G11-556685L;139980097;139980097/2011;Compensée;LI;AXEL-10-000513;TER;2011; 5 293    ; 2 615    ; 2 677    ; -      ; -      ; 5 293    ;694;28/02/2018
G11-556691L;251540021;251540021/2011;Compensée;LI;AXEL-10-000056;TER;2011; 22 672    ; 16 805    ; 5 867    ; -      ;-690    ; 21 982    ;0;28/02/2018
G11-556704L;247590054;247590054/2011;Compensée;LI;AXEL-10-000122;SS;2011; -      ; -      ; -      ; -      ; -      ; -      ;690;28/02/2018
G11-556709L;287680021;287680021/2011;Compensée;LI;AXEL-10-000420;TER;2011; 15 443    ; 10 919    ; 4 524    ; -      ;-340    ; 15 103    ;504;28/02/2018
G11-556710L;227140038;227140038/2011;Compensée;LI;AXEL-10-000613;TER;2011; 6 190    ; 4 292    ; 1 898    ; -      ;-4 292    ; 1 898    ;685;28/02/2018
G11-556713L;256990045;256990045/2011;Compensée;LI;AXEL-10-000414;TER;2011; 879    ; 551    ; 328    ; -      ; -      ; 879    ;452;28/02/2018
G11-556743L;217340010;217340010/2011;Compensée;LI;AXEL-10-000208;TER;2011; 1 548    ; 1 192    ; 356    ; -      ;-209    ; 1 339    ;588;28/02/2018
G11-556752L;79270058;79270058/2011;Compensée;LI;AXEL-10-000224;NG;2011; -      ; -      ; -      ; -      ; -      ; -      ;515;28/02/2018
G11-556756L;79270062;79270062/2011;Compensée;LI;AXEL-10-000224;SS;2011; -      ; -      ; -      ; -      ; -      ; -      ;398;28/02/2018
G11-556770L;229210045;229210045/2011;Compensée;LI;AXEL-10-000649;TER;2011; 780    ; 780    ; -      ; -      ;-780    ; -      ;390;28/02/2018
G11-556789L;257490044;257490044/2011;Compensée;LI;AXEL-10-000532;TER;2011; 3 760    ; 2 046    ; 1 714    ; -      ; -      ; 3 760    ;520;28/02/2018
G11-556793L;229210028;229210028/2011;Compensée;LI;AXEL-10-000649;TER;2011; 1 725    ; 1 725    ; -      ; -      ;-1 725    ; -      ;575;28/02/2018
G11-556803L;403730025;403730025/2011;Compensée;LI;AXEL-10-001174;SS;2011; -      ; -      ; -      ; -      ; -      ; -      ;780;28/02/2018
G11-556806L;205720024;205720024/2011;Compensée;LI;AXEL-10-000038;TER;2011; 589    ; 589    ; -      ; -      ; -      ; 589    ;330;28/02/2018
G11-556833L;289490080;289490080/2011;Compensée;LI;AXEL-10-000620;SS;2011; -      ; -      ; -      ; -      ; -      ; -      ;784;28/02/2018
G11-556838L;157800018;157800018/2011;Compensée;LI;AXEL-10-001013;EC;2011; 2 099    ; 1 954    ; 145    ; 1 017    ;-378    ; 2 739    ;977;28/02/2018
G11-556843L;232310009;232310009/2011;Compensée;LI;AXEL-10-000319;SS;2011; -      ; -      ; -      ; -      ; -      ; -      ;449;28/02/2018
G11-556854L;205940003;205940003/2011;Compensée;LI;AXEL-10-000599;SS;2011; -      ; -      ; -      ; -      ; -      ; -      ;520;28/02/2018
G11-556861L;268980002;268980002/2011;Compensée;LI;AXEL-10-000284;TER;2011; 4 291    ; 2 200    ; 2 091    ; -      ;-1 400    ; 2 891    ;1 100;28/02/2018
G11-556875L;205720100;205720100/2011;Compensée;LI;AXEL-10-000038;SS;2011; -      ; -      ; -      ; -      ; -      ; -      ;680;28/02/2018
G11-556895L;43250030;43250030/2011;Compensée;LI;AXEL-10-000637;TER;2011; 7 018    ; 3 812    ; 3 206    ; -      ;-203    ; 6 815    ;631;28/02/2018
G11-556911L;176630003;176630003/2011;Compensée;LI;AXEL-10-001134;SS;2011; -      ; -      ; -      ; -      ; -      ; -      ;1 478;28/02/2018
G11-556912L;151380013;151380013/2011;Compensée;LI;AXEL-10-000200;SS;2011; -      ; -      ; -      ; -      ; -      ; -      ;440;28/02/2018
G11-556913L;151380064;151380064/2011;Compensée;LI;AXEL-10-000200;TER;2011; 883    ; 749    ; 134    ; -      ;-749    ; 134    ;450;28/02/2018
G11-556914L;67650027;67650027/2011;Compensée;LI;AXEL-10-000723;TER;2011; 1 705    ; 1 576    ; 129    ; -      ;-1 576    ; 129    ;0;28/02/2018
G11-556936L;232310048;232310048/2011;Compensée;LI;AXEL-10-000319;SS;2011; -      ; -      ; -      ; -      ; -      ; -      ;507;28/02/2018
G11-556941L;297230019;297230019/2011;Compensée;LI;AXEL-10-000557;TER;2011; 8 737    ; 5 161    ; 3 576    ; -      ;-200    ; 8 537    ;960;28/02/2018
G11-556953L;21590386;21590386/2011;Compensée;LI;AXEL-10-000123;TER;2011; 7 977    ; 4 400    ; 3 577    ; -      ;-440    ; 7 537    ;363;28/02/2018
G11-556960L;287680014;287680014/2011;Compensée;LI;AXEL-10-000420;SS;2011; -      ; -      ; -      ; -      ; -      ; -      ;609;28/02/2018
